Vrsta izbora;Naziv županije;Naziv grada/općine;Ime i prezime kandidata;Razlikovni podatak;Naziv predlagatelja
ZAMJENIK ŽUPANA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;;DUŠAN BJELAJAC;;DUŠAN BJELAJAC - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;;MIRJANA OLUIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;;MILAN VUKELIĆ;;MILAN VUKELIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;;MIRKO MARTINOVIĆ;;MIRKO MARTINOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;;DEJAN MIHAJLOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;;DUŠAN PREDOVIĆ;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;SAŠA LUKIĆ;;SDP, SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;DRAGIŠA ŽUTINIĆ;;DOMOVINSKI POKRET - DP
ZAMJENIK ŽUPANA - SRPSKA MANJINA;PRIMORSKO-GORANSKA ŽUPANIJA;;PETAR MAMULA;;SDP, PGS, IDS, HSU, HSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;PRIMORSKO-GORANSKA ŽUPANIJA;;DUŠAN STIPANOVIĆ;;DUŠAN STIPANOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;;ĐORĐE GVOZDIĆ;;ĐORĐE GVOZDIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;;MILAN UZELAC;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VIROVITIČKO-PODRAVSKA ŽUPANIJA;;IGOR PAVKOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VIROVITIČKO-PODRAVSKA ŽUPANIJA;;STANIŠA ŽARKOVIĆ;;STANIŠA ŽARKOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;POŽEŠKO-SLAVONSKA ŽUPANIJA;;NIKOLA IVANOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;POŽEŠKO-SLAVONSKA ŽUPANIJA;;TAMARA PUAČ;;TAMARA PUAČ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;;VOJISLAV BOJANIĆ;;VOJISLAV BOJANIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;;RADOMIR ČVARKOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;OSJEČKO-BARANJSKA ŽUPANIJA;;BOŠKO GVERO;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;ŠIBENSKO-KNINSKA ŽUPANIJA;;OGNJEN VUKMIROVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;;DRAGAN CRNOGORAC;;DRAGAN CRNOGORAC - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;;SRĐAN JEREMIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;;RADO LAZIĆ;;RADO LAZIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - SRPSKA MANJINA;VUKOVARSKO-SRIJEMSKA ŽUPANIJA;;TATJANA MIRIĆ;;TATJANA MIRIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK ŽUPANA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;;JESSICA ACQUAVITA;;JESSICA ACQUAVITA - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK ŽUPANA - TALIJANSKA MANJINA;ISTARSKA ŽUPANIJA;;VALMER CUSMA;;VALMER CUSMA - KANDIDAT GRUPE BIRAČA
ZAMJENIK ŽUPANA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;;TANJA NOVOTNI GOLUBIĆ;;TANJA NOVOTNI GOLUBIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;DONJI KUKURUZARI;DALIBOR KUKURUZAR;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;DONJI KUKURUZARI;NINOSLAV PAUKOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;SISAČKO-MOSLAVAČKA ŽUPANIJA;DVOR;FRANJO JURANOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;GLINA;BRANKA BAKŠIĆ;;BRANKA BAKŠIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;GLINA;BOJANA MATIJEVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;HRVATSKA DUBICA;STEVAN TODOROVIĆ;;STEVAN TODOROVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;HRVATSKA DUBICA;ĐORĐE TOMIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;HRVATSKA KOSTAJNICA;DUŠKO GRBIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;HRVATSKA KOSTAJNICA;MILENA GRBIĆ;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;HRVATSKA KOSTAJNICA;MILODRAG LJUBENKOVIĆ;;MILODRAG LJUBENKOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;SUNJA;ROBERT GRABUNDŽIJA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;SUNJA;PERO KUZMANOVIĆ;;PERO KUZMANOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;TOPUSKO;MILKA BUĆAN;;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;TOPUSKO;JELENA ROKNIĆ;;JELENA ROKNIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;TOPUSKO;MILAN ROKNIĆ;;MILAN ROKNIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;TOPUSKO;DALIBOR TRKULJA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;SISAČKO-MOSLAVAČKA ŽUPANIJA;GVOZD;VELIMIR HORVATIN;;DOMOVINSKI POKRET - DP
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;SISAČKO-MOSLAVAČKA ŽUPANIJA;GVOZD;MARIJA IDŽAN;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;MAJUR;PERO DEVETAK;;PERO DEVETAK - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;SISAČKO-MOSLAVAČKA ŽUPANIJA;MAJUR;PERO GRABUNDŽIJA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - BOŠNJAČKA MANJINA;KARLOVAČKA ŽUPANIJA;CETINGRAD;OSMAN MUŠIĆ;;OSMAN MUŠIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;KARLOVAČKA ŽUPANIJA;KRNJAK;ĐURĐA ĐURIĆ;;ĐURĐA ĐURIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;KARLOVAČKA ŽUPANIJA;KRNJAK;JOSIP LJEVAR;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;KARLOVAČKA ŽUPANIJA;KRNJAK;KARLO PAVLOVIĆ;;KARLO PAVLOVIĆ - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;OGULIN;SINIŠA LJUBOJEVIĆ;;DEMOKRATSKI SAVEZ SRBA - DSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;OGULIN;NEVEN VUJNOVIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;PLAŠKI;MILAN JOVETIĆ;;SDP, DSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;PLAŠKI;MARA ŠUPICA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;KARLOVAČKA ŽUPANIJA;SABORSKO;NIKOLA GRBA;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;KARLOVAČKA ŽUPANIJA;VOJNIĆ;JOSIP KURTOVIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA;RASINJA;NIKICA ŠTIBIĆ;;HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS
ZAMJENIK GRADONAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;DARUVAR;VLADIMIR BILEK;;VLADIMIR BILEK - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;DEŽANOVAC;KRISTINA KUBIŠTA;;KRISTINA KUBIŠTA - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;DEŽANOVAC;SLAVKO NEHVATAL;;SLAVKO NEHVATAL - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;DEŽANOVAC;ZDENKO PIHIR;;ZDENKO PIHIR - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - ČEŠKA MANJINA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;GRUBIŠNO POLJE;ANA-MARIA ŠTRUML-TUČEK;;ANA-MARIA ŠTRUML-TUČEK - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;KONČANICA;FRANJO BEREČKI;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;BJELOVARSKO-BILOGORSKA ŽUPANIJA;KONČANICA;JAROSLAV KOČI;;JAROSLAV KOČI - KANDIDAT GRUPE BIRAČA
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;PRIMORSKO-GORANSKA ŽUPANIJA;VRBOVSKO;ĐORĐE BUSIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
ZAMJENIK GRADONAČELNIKA - SRPSKA MANJINA;PRIMORSKO-GORANSKA ŽUPANIJA;VRBOVSKO;NEMANJA MUSULIN;;NEMANJA MUSULIN - KANDIDAT GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;LIČKO-SENJSKA ŽUPANIJA;DONJI LAPAC;KREŠIMIR FORJAN;;LiPO
ZAMJENIK OPĆINSKOG NAČELNIKA - PREDSTAVNIK HRVATSKOGA NARODA;LIČKO-SENJSKA ŽUPANIJA;DONJI LAPAC;MIRO TOMIĆ;;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;LOVINAC;MARTINA BRAJKOVIĆ;;MARTINA BRAJKOVIĆ - KANDIDATKINJA GRUPE BIRAČA
ZAMJENIK OPĆINSKOG NAČELNIKA - SRPSKA MANJINA;LIČKO-SENJSKA ŽUPANIJA;LOVINAC;EVELINA JAPUNDŽIĆ;;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
